CustomerID,last_purchase_date,Recency,Frequency,Monetary,Cluster_ID,Segment_Name
12346.0,2011-01-18 10:01:00,325,12,77556.4600000001,2,Regular
12347.0,2011-12-07 15:52:00,2,8,5633.319999999998,2,Regular
12348.0,2011-09-25 13:13:00,75,5,2019.400000000001,2,Regular
12349.0,2011-11-21 09:51:00,18,4,4428.690000000002,2,Regular
12350.0,2011-02-02 16:01:00,310,1,334.40000000000003,0,Churn Risk
12351.0,2010-11-29 15:23:00,375,1,300.93,0,Churn Risk
12352.0,2011-11-03 14:37:00,36,10,2849.840000000001,2,Regular
12353.0,2011-05-19 17:47:00,204,2,406.75999999999993,2,Regular
12354.0,2011-04-21 13:11:00,232,1,1079.4,2,Regular
12355.0,2011-05-09 13:49:00,214,2,947.6099999999998,2,Regular
12356.0,2011-11-17 08:40:00,22,6,6373.68,2,Regular
12357.0,2011-11-06 16:07:00,33,3,18287.659999999993,2,Regular
12358.0,2011-12-08 10:26:00,1,5,3887.070000000001,2,Regular
12359.0,2011-10-13 12:47:00,57,10,8935.940000000006,2,Regular
12360.0,2011-10-18 15:22:00,52,8,4252.89,2,Regular
12361.0,2011-02-25 13:51:00,287,4,511.25,0,Churn Risk
12362.0,2011-12-06 15:40:00,3,11,5356.230000000002,2,Regular
12363.0,2011-08-22 10:18:00,109,2,551.9999999999998,2,Regular
12364.0,2011-12-02 10:22:00,7,4,1313.1000000000004,2,Regular
12365.0,2011-02-21 14:04:00,291,2,641.38,0,Churn Risk
12366.0,2010-03-16 10:28:00,633,1,500.24,0,Churn Risk
12367.0,2011-12-05 16:48:00,4,1,168.9,2,Regular
12368.0,2010-03-21 15:56:00,628,1,917.6999999999999,0,Churn Risk
12369.0,2010-10-22 13:13:00,413,3,1791.15,0,Churn Risk
12370.0,2011-10-19 14:51:00,51,7,4320.3099999999995,2,Regular
12371.0,2011-10-26 10:16:00,44,5,4067.3799999999987,2,Regular
12372.0,2011-09-29 12:12:00,71,3,1298.0399999999997,2,Regular
12373.0,2011-02-01 13:10:00,311,3,1127.65,0,Churn Risk
12374.0,2011-11-14 15:37:00,25,4,2989.2200000000007,2,Regular
12375.0,2011-11-29 10:36:00,10,2,457.5000000000001,2,Regular
12376.0,2010-11-15 12:15:00,389,2,503.15,0,Churn Risk
12377.0,2011-01-28 15:45:00,315,4,3426.3199999999993,0,Churn Risk
12378.0,2011-08-02 10:34:00,129,2,5416.32,2,Regular
12379.0,2011-09-19 10:09:00,81,4,1620.22,2,Regular
12380.0,2011-11-18 11:27:00,21,11,9676.299999999997,2,Regular
12381.0,2011-12-05 12:44:00,4,5,1845.3100000000006,2,Regular
